"CAI1","LOM2","CNL3","ZIY4","GCO5","UQO6","HAI7","CWY8","SUO9","Output20","UNL10"
"N",27.709,48,76.123,66.537,70.032,52.269,31.606,71.067,"Class4",23.437
"W",44.562,68,33.01,25.317,44.231,44.282,51.073,43.868,"Class5",47.126
"D",49.638,68,20.303,22.198,13.111,69.439,50.99,97.032,"Class1",44.523
"D",61.614,83,21.908,11.456,30.343,68.432,59.478,87.02,"Class1",25.049
"Y",44.401,32,96.834,86.733,93.748,61.875,24.33,7.83,"Class3",78.266
"D",41.365,35,94.884,89.724,94.978,66.984,49.781,5.797,"Class3",94.6
"Y",26.445,34,100.442,91.327,92.813,60.714,33.019,12.797,"Class3",96.585
"P",48.783,35,33.658,32.959,44.937,38.664,48.765,51.011,"Class5",44.822
"C",30.833,43,107.317,83.362,76.291,45.313,42.767,54.19,"Class4",22.794
"B",61.985,72,20.078,22.827,12.897,68.703,73.452,89.709,"Class1",24.605
"N",46.817,43,50.101,29.096,39.88,44.325,53.685,59.784,"Class5",25.851
"Z",57.883,26,26.776,78.887,81.404,18.311,56.278,8.604,"Class2",20.178
