"APU1","TNS2","BNJ3","FKI4","NGO5","FMO6","UYZ7","NLU8","CDP9","DKG10","Output2"
"C",85.797,31.673,52.955,49.51,53.827,NA,52.44,"D",63.805,"Class1"
"C",66.72,68.234,57.512,57.531,68.706,81,78.786,"H",36.432,"Class2"
"H",67.639,81.555,59.429,37.651,62.847,77,33.571,"I",30.603,"Class2"
"C",68.691,35.002,49.911,37.894,71.173,78,51.422,"H",47.413,"Class2"
"K",14.893,6.231,22.705,96.414,83.387,13,68.126,"J",11.325,"Class4"
"C",88.056,30.841,51.849,47.236,58.35,74,45.686,"P",66.75,"Class1"
"N",55.082,82.239,67.979,67.996,66.885,79,70.971,"H",30.084,"Class2"
"N",73.989,46.235,65.796,36.69,64.484,88,49.774,"H",31.768,"Class2"
"A",93.844,56.771,44.65,-21.733,71.682,89,NA,"C",32.657,"Class2"
"X",10.477,51.506,22.602,56.38,78.02,36,NA,"P",11.287,"Class4"
"C",68.506,50.979,49.562,27.795,70.353,75,24.766,"H",69.374,"Class2"
"P",79.875,63.066,22.878,56.866,44.087,15,47.059,"M",51.5,"Class3"
"A",77.089,58.092,43.786,50.394,66.758,88,75.732,"Q",8.546,"Class2"
"X",21.876,32.936,23.282,63.472,83.677,19,72.868,"R",9.509,"Class4"
"Z",85.943,31.93,55.65,45.316,62.106,51,47.766,"P",54.385,"Class1"
"P",59.052,46.006,20.155,50.37,51.72,12,47.096,"R",48.222,"Class3"
"I",24.909,6.243,23.022,84.444,79.092,39,77.577,"J",9.8,"Class4"
"G",64.961,43.171,55.28,38.446,71.5,96,82.111,"C",74.066,"Class2"
"G",83.076,33.462,44.222,38.266,67.24,88,40.324,"G",16.59,"Class2"
"R",65.116,57.226,24.787,70.936,32.638,12,47.648,"Z",49.213,"Class3"
"N",66.167,57.823,56.122,56.816,61.319,93,20.616,"C",32.917,"Class2"
"X",18.47,17.799,23.018,48.471,83.731,19,75.989,"C",17.877,"Class4"
"G",73.027,92.49,46.934,10.483,71.763,77,31.402,"C",63.214,"Class2"
"K",6.665,32.449,22.082,52.744,90.412,NA,68.925,"C",9.64,"Class4"
"I",24.145,29.792,23.373,70.824,85.373,26,70.73,"P",17.731,"Class4"
"Z",86.832,31.414,55.109,48.473,56.174,70,42.379,"D",65.423,"Class1"
"C",92.816,32.95,50.453,44.392,57.681,89,51.325,"P",60.107,"Class1"
"G",88.837,73.94,67.138,33.272,68.283,84,90.683,"C",55.531,"Class2"
"G",85.826,30.195,60.609,46.23,61.606,90,44.014,"B",59.332,"Class1"
"Z",86.209,30.203,49.929,47.105,56.858,70,45.434,"M",53.218,"Class1"
"E",92.164,29.145,17.305,54.347,46.234,12,47.462,"R",31.743,"Class3"
"G",55.838,69.708,61.625,41.575,65.648,94,31.641,"G",34.155,"Class2"
"Z",93.098,32.083,58.528,45.547,58.088,51,44.936,"P",53.235,"Class1"
"J",13.713,-3.964,22.486,37.454,86.316,7,80.153,"L",11.642,"Class4"
"Q",25.275,22.879,22.376,66.454,78.128,27,76.403,"R",17.825,"Class4"
"H",99.741,63.442,43.974,41.94,71.271,93,30.728,"H",30.538,"Class2"
"Z",86.943,32.114,61.363,45.883,59.667,81,46.061,"P",61.301,"Class1"
"H",72.883,67.935,25.89,49.878,26.896,10,47.114,"R",29.466,"Class3"
"E",81.675,57.414,14.48,63.418,38.268,NA,47.217,"H",36.673,"Class3"
"C",89.108,30.059,48.001,43.066,61.689,NA,47.106,"F",66.341,"Class1"
"A",83.659,49.868,57.44,35.422,70.298,92,88.821,"G",31.781,"Class2"
"D",87.868,30.405,61.614,48.118,60.197,69,45.633,"B",55.556,"Class1"
"P",74.219,41.596,24.504,70.227,40.335,15,47.225,"R",21.257,"Class3"
"X",8.497,30.971,23.805,67.503,78.383,23,71.919,"C",15.505,"Class4"
"A",48.634,29.952,60.791,38.352,69.165,92,84.196,"H",72.883,"Class2"
"H",76.715,52.487,53.667,16.947,69.811,79,37.53,"I",34.738,"Class2"
"E",76.114,38.912,30.245,75.656,51.614,11,47.907,"Z",47.504,"Class3"
"K",24.23,31.194,23.276,54.208,83.262,7,69.066,"J",13.012,"Class4"
"H",51.66,67.004,48.264,14.726,63.035,80,23.586,"G",50.426,"Class2"
"J",12.018,38.256,22.147,123.847,81.287,38,71.67,"J",17.932,"Class4"
"G",80.477,46.534,61.355,31.035,68.755,91,35.226,"C",83.511,"Class2"
"C",86.728,32.115,59.736,46.376,60.458,53,52.012,"D",61.321,"Class1"
"H",69.432,44.037,67.644,31.592,58.755,87,67.028,"H",80.297,"Class2"
"G",57.699,40.29,63.414,49.273,74.376,79,55.53,"Q",81.346,"Class2"
"H",76.671,76.011,52.959,44.869,72.104,88,69.662,"G",62.024,"Class2"
"M",71.467,21.12,19.218,87.869,35.92,12,47.96,"Z",20.059,"Class3"
"N",102.421,83.122,44.588,43.027,66.111,82,59.594,"H",45.935,"Class2"
"C",85.7,30.17,56.87,44.663,57.097,77,45.343,"B",66.224,"Class1"
"P",71.571,57.976,25.875,62.652,36.482,12,47.009,"M",30.774,"Class3"
"H",52.191,80.1,66.348,77.494,65.221,90,71.866,"C",5.894,"Class2"
"H",78.322,41.141,22.518,69.557,32.756,13,47.793,"H",32.24,"Class3"
"C",87.637,32.429,57.343,50.401,61.882,NA,48.664,"P",63.27,"Class1"
"R",74.152,61.606,13.911,47.82,38.671,10,47.104,"H",41.737,"Class3"
"E",66.575,25.503,25.977,60.149,23.683,12,47.905,"I",37.002,"Class3"
"N",62.28,38.525,54.73,25.705,65.235,90,34.511,"Q",52.299,"Class2"
"A",81.184,40.852,52.224,51.248,70.706,97,56.99,"G",4.032,"Class2"
"Z",89.52,31.594,50.077,47.523,54.035,61,42.902,"M",53.808,"Class1"
"R",78.765,24.233,24.409,68.998,32.706,11,NA,"R",44.213,"Class3"
"G",43.29,50.111,67.293,9.04,70.58,94,66.244,"H",64.567,"Class2"
"H",71.452,33.489,25.682,48.124,29.86,12,47.027,"Z",25.023,"Class3"
"N",90.572,52.476,63.173,0.919,72.625,96,26.9,"G",83.225,"Class2"
"C",86.056,32.278,56.83,45.965,58.41,52,44.984,"M",57.737,"Class1"
"E",64.351,35.772,24.164,59.578,32.826,10,NA,"Z",29.161,"Class3"
"I",18.469,3.563,23.037,113.391,86.454,32,73.469,"J",11.157,"Class4"
"N",73.871,47.772,54.261,30.322,67.566,88,25.378,"C",71.535,"Class2"
"I",22.591,22.666,23.662,98.798,89.672,13,79.704,"R",15.013,"Class4"
"I",8.655,28.356,22.013,47.305,78.981,31,73.854,"P",11.079,"Class4"
"M",52.118,34.877,17.81,49.284,31.972,11,47.568,"I",13.433,"Class3"
"G",62.748,49.858,66.342,37.668,72.59,86,53.887,"Q",54.376,"Class2"
"R",63.588,64.051,24.563,61.478,29.655,15,47.115,"H",43.934,"Class3"
"K",20.378,25.58,22.601,68.005,84.835,NA,78.298,"P",11.221,"Class4"
"Z",84.362,33.281,48.231,48.544,56.397,92,45.059,"B",64.404,"Class1"
"K",-4.904,26.777,23.885,66.61,81.46,29,69.798,"R",13.283,"Class4"
"J",14.356,26.812,23.086,39.969,82.885,43,80.104,"P",10.985,"Class4"
"H",90.577,33.22,59.187,44.051,54.019,52,52.927,"B",62.319,"Class1"
"M",90.985,51.2,32.936,54.744,42.717,13,47.445,"H",40.975,"Class3"
"I",7.618,45.704,23.034,61.855,81.21,32,68.713,"C",9.09,"Class4"
"I",29.981,21.899,23.141,87.068,84.09,19,71.892,"R",14.781,"Class4"
